타임스탬프,몇학년이신가요!? (A),성별은요!? (A),학과(전공)가 어떻게 되세요? (A),취미가 어떻게 되세요!? (A),휴대폰을 주로 이용하는 시간대가 어떻게 되세요? (K),휴대폰을 하루에 몇시간정도 이용하나요? (K),"휴대폰으로 주로 무얼 하나요?(게임, SNS, 정보검색 등) (K)",자기 전 1시간 이내에 휴대폰을 이용하시나요? (K),여가시간에 전자기기를 제외하고 주로 무얼 하시나요? (K),학교 수업 외로 하루 평균 공부 시간은 얼마나 되시나요? (A),주로 집중적으로 공부하는 시간은 언제인가요? (A),취업 후 기대하는 연봉은 얼마인가요!? (A),학과(전공) 선택에 만족하시나요!? (A),전공 관련 취업 선호도는 어느정도인가요? (A),하루 평균 소셜 미디어 사용 시간은 얼마나 되나요? (A),집에서 학교까지 오는데 걸리는 시간은 어느정도인가요? (A),학업 스트레스는 어느정도인가요? (A),교우관계는 어떠신가요? (A),아르바이트를 하시나요!? (A),방과후 수업을 하시나요!? (A),
2023. 10. 12 오전 7:44:50,2학년,남,스마트,영상시청,,,,,,0-30,밤,4천 만원,O,9,1시간-2시간,10-30분,매우 없음,매우 좋음,O,O,
2023. 10. 12 오후 12:21:46,2학년,남자,창업마케팅과,운동,학교에서(9시~17시),3~5시간,SNS,한다,공부,1시간-2시간,방과후(저녁),3천만원,O,5,1시간-2시간,10-30분,2,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 12:21:49,2학년,남자,창업마케팅과,게임,학교에서(9시~17시),7~9시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,기타,2500,O,5,2시간-3시간 이상,10-30분,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 12:23:07,3학년,남자,소프트웨어개발과,게임,학교에서(9시~17시),3~5시간,웹툰,한다,자기,0-30분,기타,3000,O,7,1시간-2시간,10-30분,2,1,X,X,
2023. 10. 12 오후 12:23:25,3학년,남자,소프트웨어개발과,게임,새벽에(00시~6시),5~7시간,커뮤니티,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,3200,O,5,0-30분,10-30분,3,1,X,X,
2023. 10. 12 오후 12:23:28,2학년,남자,창업마케팅과,음악,학교에서(9시~17시),5~7시간,웹툰,한다,알바,0-30분,기타,123억,O,5,2시간-3시간 이상,1시간-2시간,1,1,O,X,
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,기타,모름,X,5,30-1시간,10-30분,3,3,X,X,
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,운동,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,1시간-2시간,밤,삼천만원,O,7,1시간-2시간,10-30분,1,3,X,X,
2023. 10. 12 오후 12:23:32,3학년,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,공부,1시간-2시간,방과후(저녁),3000만,O,5,30-1시간,10-30분,2,2,X,X,
2023. 10. 12 오후 12:23:49,2학년,여자,창업마케팅과,게임,밤에(20시~24시),7~9시간,SNS,한다,청소,0-30분,방과후(저녁),기대하니 않는다,X,2,0-30분,10-30분,3,3,X,X,
2023. 10. 12 오후 12:24:25,3학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,기타,2500,O,6,1시간-2시간,30-1시간,2,3,X,X,
2023. 10. 12 오후 12:24:47,3학년,남자,소프트웨어개발과,게임,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,밤,3500,O,7,2시간-3시간 이상,10-30분,4,2,X,X,
2023. 10. 12 오후 12:25:21,2학년,남자,창업마케팅과,기타,밤에(20시~24시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,방과후(저녁),"28,000,000",O,5,30-1시간,30-1시간,3,1,X,X,
2023. 10. 12 오후 12:25:30,3학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),1~3시간,"영상 시청(유튜브, OTT)",한다,하는거 없음,0-30분,기타,딱히 생각 없음,X,1,0-30분,10-30분,4,4,X,X,
2023. 10. 12 오후 12:25:46,2학년,남자,창업마케팅과,운동,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,밤,3000,O,7,1시간-2시간,30-1시간,2,1,X,X,
2023. 10. 12 오후 12:25:59,3학년,남자,소프트웨어개발과,예술,저녁에(17시~20시),1~3시간,메신저,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,재량껏,X,8,30-1시간,30-1시간,3,3,X,X,
2023. 10. 12 오후 12:26:05,2학년,여자,창업마케팅과,예술,밤에(20시~24시),3~5시간,SNS,한다,뷰티 연습,1시간-2시간,기타,잘 모르겠다,O,4,1시간-2시간,30-1시간,3,1,O,X,
2023. 10. 12 오후 12:27:06,3학년,여자,소프트웨어개발과,음악,저녁에(17시~20시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,3천중반,O,6,2시간-3시간 이상,10-30분,4,2,X,X,
2023. 10. 12 오후 12:27:34,3학년,여자,뷰티디자인과,음악,밤에(20시~24시),1시간 미만,SNS,한다,스포츠 활동,0-30분,방과후(저녁),5천만원,O,8,2시간-3시간 이상,1시간-2시간,1,2,X,X,
2023. 10. 12 오후 12:27:46,3학년,여자,뷰티디자인과,기타,저녁에(17시~20시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,300,X,5,1시간-2시간,1시간-2시간,3,2,X,X,
2023. 10. 12 오후 12:27:49,3학년,여자,뷰티디자인과,음악,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),3000천,O,7,2시간-3시간 이상,30-1시간,2,4,X,X,
2023. 10. 12 오후 12:28:09,2학년,남자,창업마케팅과,기타,학교에서(9시~17시),5~7시간,SNS,한다,스포츠 활동,0-30분,밤,모르겠음,O,7,1시간-2시간,30-1시간,2,3,X,X,
2023. 10. 12 오후 12:28:44,2학년,남자,창업마케팅과,음악,새벽에(00시~6시),5~7시간,게임,한다,노래듣기,30분-1시간,밤,1000..?,O,5,1시간-2시간,30-1시간,2,3,X,X,
2023. 10. 12 오후 12:28:48,3학년,여자,스마트웹콘텐츠과,게임,저녁에(17시~20시),5~7시간,게임,한다,독서,0-30분,방과후(저녁),180,O,8,0-30분,10-30분,2,2,X,X,
2023. 10. 12 오후 12:28:53,2학년,남자,창업마케팅과,영상시청,밤에(20시~24시),5~7시간,SNS,한다,TV 보기,0-30분,밤,1억,X,4,2시간-3시간 이상,1시간-2시간,1,1,X,X,
2023. 10. 12 오후 12:29:20,3학년,여자,뷰티디자인과,음악,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,4천만원(평균 연봉),O,7,1시간-2시간,30-1시간,3,2,O,X,
2023. 10. 12 오후 12:29:25,3학년,여자,뷰티디자인과,영상시청,밤에(20시~24시),7~9시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,2000만원,O,6,2시간-3시간 이상,10-30분,2,1,X,X,
2023. 10. 12 오후 12:29:44,2학년,남자,창업마케팅과,음악,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,피아노,0-30분,기타,1000만원,X,5,30-1시간,10-30분,2,3,X,X,
2023. 10. 12 오후 12:31:20,3학년,남자,스마트웹콘텐츠과,기타,저녁에(17시~20시),9시간 이상,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,방과후(저녁),8000만원,O,10,2시간-3시간 이상,1시간-2시간,3,1,X,X,
2023. 10. 12 오후 12:32:14,2학년,여자,창업마케팅과,운동,학교에서(9시~17시),7~9시간,SNS,한다,스포츠 활동,0-30분,밤,모르겠습니다,O,5,2시간-3시간 이상,10-30분,4,1,O,X,
2023. 10. 12 오후 12:33:36,2학년,남자,창업마케팅과,운동,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,2400,X,3,30-1시간,30-1시간,3,3,X,X,
2023. 10. 12 오후 12:34:30,3학년,남자,소프트웨어개발과,영상시청,밤에(20시~24시),9시간 이상,"영상 시청(유튜브, OTT)",한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),세후 3000,O,9,1시간-2시간,30-1시간,3,3,X,X,
2023. 10. 12 오후 12:37:13,2학년,남자,창업마케팅과,기타,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),모르겠다,O,7,2시간-3시간 이상,30-1시간,2,2,O,X,
2023. 10. 12 오후 12:37:18,3학년,여자,소프트웨어개발과,게임,아침(6시~9시),9시간 이상,SNS,한다,TV 보기,0-30분,기타,.,O,3,2시간-3시간 이상,1시간-2시간,2,3,X,X,
2023. 10. 12 오후 12:37:32,1학년,남자,금융경영과,운동,밤에(20시~24시),3~5시간,SNS,한다,스포츠 활동,1시간-2시간,방과후(저녁),1억,O,7,1시간-2시간,1시간-2시간,3,4,X,X,
2023. 10. 12 오후 12:38:43,1학년,남자,금융경영과,운동,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,1시간-2시간,방과후(저녁),월 8~900,O,10,1시간-2시간,30-1시간,3,1,X,X,
2023. 10. 12 오후 12:38:56,1학년,남자,금융경영과,게임,학교에서(9시~17시),5~7시간,게임,한다,TV 보기,1시간-2시간,방과후(저녁),2000~3000만원,O,6,30-1시간,30-1시간,3,2,X,X,
2023. 10. 12 오후 12:39:34,1학년,여자,금융경영과,음악,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),5000천만원,O,4,30-1시간,10-30분,2,2,O,X,
2023. 10. 12 오후 12:40:28,1학년,여자,금융경영과,영상시청,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,TV 보기,1시간-2시간,방과후(저녁),3000~4000,X,6,30-1시간,10-30분,4,2,X,X,
2023. 10. 12 오후 12:42:29,1학년,여자,금융경영과,음악,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,2억,X,3,1시간-2시간,10-30분,3,1,O,X,
2023. 10. 12 오후 12:43:25,1학년,여자,금융경영과,음악,밤에(20시~24시),3~5시간,SNS,한다,TV 보기,0-30분,방과후(저녁),3천만원이상,O,5,1시간-2시간,10-30분,3,4,X,X,
2023. 10. 12 오후 12:43:49,3학년,남자,스마트웹콘텐츠과,영상시청,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,알바,0-30분,방과후(저녁),많이,O,10,0-30분,30-1시간,4,4,O,X,
2023. 10. 12 오후 12:48:49,1학년,여자,금융경영과,음악,밤에(20시~24시),7~9시간,"영상 시청(유튜브, OTT)",한다,"댄스,노래",30분-1시간,방과후(저녁),없습니다,X,2,30-1시간,30-1시간,4,1,X,X,
2023. 10. 12 오후 12:50:15,1학년,여자,회계정보과,운동,저녁에(17시~20시),5~7시간,SNS,한다,TV 보기,30분-1시간,기타,230,X,5,2시간-3시간 이상,10-30분,4,4,X,X,
2023. 10. 12 오후 12:52:10,1학년,남자,금융경영과,기타,저녁에(17시~20시),3~5시간,SNS,안한다,스포츠 활동,0-30분,기타,생각해본적없어요,O,5,1시간-2시간,10-30분,2,3,X,X,
2023. 10. 12 오후 12:55:46,1학년,여자,회계정보과,운동,밤에(20시~24시),1~3시간,SNS,한다,스포츠 활동,0-30분,밤,300이상,X,5,1시간-2시간,30-1시간,2,2,X,X,
2023. 10. 12 오후 12:56:07,2학년,여자,스마트웹콘텐츠과,예술,학교에서(9시~17시),3~5시간,SNS,한다,취미생활,0-30분,기타,35000000,X,4,1시간-2시간,10-30분,1,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 12:59:01,3학년,남자,회계정보과,예술,새벽에(00시~6시),9시간 이상,"영상 시청(유튜브, OTT)",한다,공부,1시간-2시간,기타,세후 3000만원,O,7,0-30분,30-1시간,1,1,X,X,
2023. 10. 12 오후 1:00:32,2학년,여자,창업마케팅과,음악,학교에서(9시~17시),5~7시간,"영상 시청(유튜브, OTT)",한다,잠자기 나가기,30분-1시간,방과후(저녁),200,O,7,30-1시간,10-30분,4,2,O,X,
2023. 10. 12 오후 1:02:43,1학년,여자,회계정보과,운동,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,,0-30분,기타,3000천 이상(?),O,5,30-1시간,10-30분,2,3,X,X,
2023. 10. 12 오후 1:03:12,1학년,남자,금융경영과,게임,저녁에(17시~20시),3~5시간,SNS,한다,TV 보기,0-30분,방과후(저녁),5000만원,O,7,30-1시간,10-30분,2,3,X,X,
2023. 10. 12 오후 1:09:58,2학년,여자,창업마케팅과,게임,학교에서(9시~17시),7~9시간,정보검색,한다,TV 보기,30분-1시간,밤,X,O,4,1시간-2시간,10-30분,3,3,X,X,
2023. 10. 12 오후 1:28:46,3학년,남자,스마트웹콘텐츠과,예술,저녁에(17시~20시),1~3시간,웹툰,안한다,그림 그린다,0-30분,밤,200,X,4,0-30분,10-30분,1,2,O,X,
2023. 10. 12 오후 1:29:50,3학년,남자,스마트웹콘텐츠과,게임,학교에서(9시~17시),5~7시간,게임,한다,그림 그리기,0-30분,밤,200,O,5,30-1시간,10-30분,2,2,X,X,
2023. 10. 12 오후 1:47:42,2학년,여자,금융경영과,게임,밤에(20시~24시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,"4,000만 이상",X,10,2시간-3시간 이상,10-30분,4,2,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:47:58,2학년,여자,금융경영과,음악,밤에(20시~24시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),1,O,5,2시간-3시간 이상,10-30분,1,2,X,X,
2023. 10. 12 오후 1:48:52,2학년,여자,금융경영과,기타,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,밤,3000,O,8,1시간-2시간,30-1시간,3,2,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:49:11,2학년,남자,금융경영과,운동,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),3500만원,O,10,30-1시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:49:22,2학년,남자,금융경영과,게임,밤에(20시~24시),3~5시간,SNS,안한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,2300만원,X,3,30-1시간,30-1시간,3,4,O,X,
2023. 10. 12 오후 1:50:16,2학년,남자,금융경영과,기타,밤에(20시~24시),1~3시간,게임,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,방과후(저녁),2000,O,5,1시간-2시간,30-1시간,2,2,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:50:35,1학년,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),3~5시간,SNS,한다,기타(음악),30분-1시간,밤,4000~5000,O,7,2시간-3시간 이상,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:50:41,2학년,여자,창업마케팅과,기타,새벽에(00시~6시),5~7시간,웹툰,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),1억,O,8,2시간-3시간 이상,10-30분,1,1,O,X,
2023. 10. 12 오후 1:51:20,1학년,남자,스마트웹콘텐츠과,게임,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,공부,30분-1시간,방과후(저녁),300만원,O,10,30-1시간,10-30분,2,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:52:51,1학년,여자,스마트웹콘텐츠과,기타,밤에(20시~24시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),모르겠습니다,O,5,2시간-3시간 이상,10-30분,3,2,X,X,
2023. 10. 12 오후 1:53:45,1학년,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,방과후(저녁),월 200부터 500까지,O,6,0-30분,10-30분,4,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:53:49,1학년,남자,스마트웹콘텐츠과,게임,아침(6시~9시),3~5시간,"영상 시청(유튜브, OTT)",한다,잠자기,0-30분,방과후(저녁),400,O,10,2시간-3시간 이상,10-30분,1,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:54:13,1학년,남자,스마트웹콘텐츠과,운동,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",안한다,스포츠 활동,30분-1시간,기타,1억,X,7,1시간-2시간,10-30분,2,4,O,X,
2023. 10. 12 오후 1:55:01,1학년,남자,스마트웹콘텐츠과,운동,밤에(20시~24시),1~3시간,게임,한다,스포츠 활동,30분-1시간,방과후(저녁),아직 모름,O,5,1시간-2시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:55:55,1학년,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),1~3시간,게임,한다,스포츠 활동,30분-1시간,밤,없음,O,10,0-30분,10-30분,1,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 1:57:48,3학년,여자,금융경영과,기타,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,3000,O,7,1시간-2시간,30-1시간,2,1,O,X,
2023. 10. 12 오후 2:05:00,2학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,밤,잘 모르겠다,O,7,1시간-2시간,30-1시간,3,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:33:14,3학년,여자,금융경영과,기타,학교에서(9시~17시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,방과후(저녁),"3,000이상",O,10,2시간-3시간 이상,10-30분,3,3,X,X,
2023. 10. 12 오후 2:41:31,2학년,남자,창업마케팅과,운동,밤에(20시~24시),5~7시간,웹툰,한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),2000,X,0,1시간-2시간,10-30분,3,2,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:42:22,2학년,남자,스마트웹콘텐츠과,게임,학교에서(9시~17시),3~5시간,게임,한다,TV 보기,0-30분,방과후(저녁),4000,O,10,2시간-3시간 이상,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:43:13,2학년,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),9시간 이상,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,4000?,O,4,2시간-3시간 이상,30-1시간,2,2,X,X,
2023. 10. 12 오후 2:43:33,2학년,여자,스마트웹콘텐츠과,음악,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),3000,O,7,1시간-2시간,10-30분,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:44:09,2학년,여자,스마트웹콘텐츠과,영상시청,새벽에(00시~6시),9시간 이상,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,3500,O,7,2시간-3시간 이상,10-30분,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:45:00,2학년,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,방과후(저녁),4000,O,9,30-1시간,10-30분,1,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:45:40,2학년,남자,스마트웹콘텐츠과,운동,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,1억이상,X,0,0-30분,30-1시간,1,1,O,X,
2023. 10. 12 오후 2:46:37,2학년,남자,스마트웹콘텐츠과,영상시청,학교에서(9시~17시),1~3시간,정보검색,안한다,TV 보기,0-30분,방과후(저녁),4천만 원,O,10,0-30분,30-1시간,1,1,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:46:58,2학년,여자,스마트웹콘텐츠과,예술,밤에(20시~24시),7~9시간,웹툰,한다,그림그리기,1시간-2시간,밤,3600만원,O,5,2시간-3시간 이상,30-1시간,4,3,X,X,
2023. 10. 12 오후 2:47:41,2학년,남자,스마트웹콘텐츠과,운동,밤에(20시~24시),1시간 미만,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,기타,4000만원,O,10,0-30분,10-30분,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:48:20,2학년,남자,스마트웹콘텐츠과,음악,저녁에(17시~20시),7~9시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),4000,O,5,0-30분,10-30분,2,2,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:48:26,2학년,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),3000천만원,O,4,30-1시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:49:18,2학년,여자,스마트웹콘텐츠과,영상시청,밤에(20시~24시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,1억,O,5,30-1시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:49:30,2학년,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),1~3시간,SNS,한다,유튜브,30분-1시간,방과후(저녁),3천,X,3,30-1시간,10-30분,4,3,O,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 2:49:46,2학년,남자,스마트웹콘텐츠과,음악,학교에서(9시~17시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),잘 모르겠습니다,O,7,30-1시간,30-1시간,2,2,X,O(아래 질문에 답변해주세요!),
