타임스탬프,학년,성별,학과(전공),취미,평균 공부 시간,공부하는 시간,자격증 개수,출석,평균 수면 시간,희망 진로,수업 집중도,수업 집중도(전공),희망 연봉,학과 만족 O/X,취업 선호도,소셜 미디어 사용시간,통학 시간,학업 스트레스,교우관계,알바 유무,방과후 유무,방과후 만족도
2023. 10. 12 오후 12:21:46,2학년,남자,창업마케팅과,운동,1시간-2시간,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,취업,6,6,3천만원,O,5,1시간-2시간,10-30분,2,3,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 12:21:49,2학년,남자,창업마케팅과,게임,0-30분,기타,4,반년에 한두번 빠져요,4~6시간 자요,취업,8,8,2500,O,5,2시간-3시간 이상,10-30분,3,2,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 12:23:07,3학년,남자,소프트웨어개발과,게임,0-30분,기타,6,절대 안빠지죠,6시간 이상 자요,대학교 진학,5,5,3000,O,7,1시간-2시간,10-30분,2,1,X,X,
2023. 10. 12 오후 12:23:25,3학년,남자,소프트웨어개발과,게임,0-30분,밤,5,절대 안빠지죠,4~6시간 자요,취업,7,7,3200,O,5,0-30분,10-30분,3,1,X,X,1
2023. 10. 12 오후 12:23:28,2학년,남자,창업마케팅과,음악,0-30분,기타,6,한달에 한두번 빠져요,2~4시간 자요,취업,10,10,123억,O,5,2시간-3시간 이상,1시간-2시간,1,1,O,X,
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,게임,30분-1시간,기타,5,절대 안빠지죠,2~4시간 자요,아직 모르겠다,5,5,모름,X,5,30-1시간,10-30분,3,3,X,X,5
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,운동,1시간-2시간,밤,5,절대 안빠지죠,6시간 이상 자요,취업,8,9,삼천만원,O,7,1시간-2시간,10-30분,1,3,X,X,
2023. 10. 12 오후 12:23:32,3학년,남자,소프트웨어개발과,게임,1시간-2시간,방과후(저녁),7,절대 안빠지죠,4~6시간 자요,대학교 진학,5,5,3000만,O,5,30-1시간,10-30분,2,2,X,X,
2023. 10. 12 오후 12:23:49,2학년,여자,창업마케팅과,게임,0-30분,방과후(저녁),1,한달에 한두번 빠져요,4~6시간 자요,대학교 진학,7,4,기대하니 않는다,X,2,0-30분,10-30분,3,3,X,X,
2023. 10. 12 오후 12:24:25,3학년,남자,소프트웨어개발과,게임,30분-1시간,기타,4,절대 안빠지죠,4~6시간 자요,취업,6,6,2500,O,6,1시간-2시간,30-1시간,2,3,X,X,5
2023. 10. 12 오후 12:24:47,3학년,남자,소프트웨어개발과,게임,30분-1시간,밤,4,절대 안빠지죠,4~6시간 자요,대학교 진학,7,8,3500,O,7,2시간-3시간 이상,10-30분,4,2,X,X,
2023. 10. 12 오후 12:25:21,2학년,남자,창업마케팅과,기타,1시간-2시간,방과후(저녁),4,한달에 한두번 빠져요,4~6시간 자요,취업,9,9,"28,000,000",O,5,30-1시간,30-1시간,3,1,X,X,7
2023. 10. 12 오후 12:25:30,3학년,남자,소프트웨어개발과,게임,0-30분,기타,5,한달에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,6,2,딱히 생각 없음,X,1,0-30분,10-30분,4,4,X,X,
2023. 10. 12 오후 12:25:46,2학년,남자,창업마케팅과,운동,30분-1시간,밤,3,반년에 한두번 빠져요,6시간 이상 자요,대학교 진학,9,8,3000,O,7,1시간-2시간,30-1시간,2,1,X,X,
2023. 10. 12 오후 12:25:59,3학년,남자,소프트웨어개발과,예술,30분-1시간,밤,4,반년에 한두번 빠져요,4~6시간 자요,취업,4,7,재량껏,X,8,30-1시간,30-1시간,3,3,X,X,1
2023. 10. 12 오후 12:26:05,2학년,여자,창업마케팅과,예술,1시간-2시간,기타,2,한달에 한두번 빠져요,2~4시간 자요,취업,3,6,잘 모르겠다,O,4,1시간-2시간,30-1시간,3,1,O,X,
2023. 10. 12 오후 12:27:06,3학년,여자,소프트웨어개발과,음악,0-30분,밤,5,절대 안빠지죠,4~6시간 자요,대학교 진학,6,7,3천중반,O,6,2시간-3시간 이상,10-30분,4,2,X,X,
2023. 10. 12 오후 12:27:34,3학년,여자,뷰티디자인과,음악,0-30분,방과후(저녁),4,절대 안빠지죠,4~6시간 자요,취업,6,10,5천만원,O,8,2시간-3시간 이상,1시간-2시간,1,2,X,X,
2023. 10. 12 오후 12:27:46,3학년,여자,뷰티디자인과,기타,0-30분,기타,1,절대 안빠지죠,6시간 이상 자요,대학교 진학,7,10,300,X,5,1시간-2시간,1시간-2시간,3,2,X,X,
2023. 10. 12 오후 12:27:49,3학년,여자,뷰티디자인과,음악,30분-1시간,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,대학교 진학,9,10,3000천,O,7,2시간-3시간 이상,30-1시간,2,4,X,X,
2023. 10. 12 오후 12:28:09,2학년,남자,창업마케팅과,기타,0-30분,밤,3,반년에 한두번 빠져요,6시간 이상 자요,취업,7,8,모르겠음,O,7,1시간-2시간,30-1시간,2,3,X,X,
2023. 10. 12 오후 12:28:44,2학년,남자,창업마케팅과,음악,30분-1시간,밤,1,절대 안빠지죠,4~6시간 자요,취업,5,5,1000..?,O,5,1시간-2시간,30-1시간,2,3,X,X,5
2023. 10. 12 오후 12:28:48,3학년,여자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),8,절대 안빠지죠,6시간 이상 자요,대학교 진학,8,9,180,O,8,0-30분,10-30분,2,2,X,X,
2023. 10. 12 오후 12:28:53,2학년,남자,창업마케팅과,영상시청,0-30분,밤,2,절대 안빠지죠,4~6시간 자요,취업,8,8,1억,X,4,2시간-3시간 이상,1시간-2시간,1,1,X,X,
2023. 10. 12 오후 12:29:20,3학년,여자,뷰티디자인과,음악,30분-1시간,밤,4,절대 안빠지죠,4~6시간 자요,대학교 진학,9,10,4천만원(평균 연봉),O,7,1시간-2시간,30-1시간,3,2,O,X,9
2023. 10. 12 오후 12:29:25,3학년,여자,뷰티디자인과,영상시청,30분-1시간,밤,2,절대 안빠지죠,4~6시간 자요,아직 모르겠다,8,6,2000만원,O,6,2시간-3시간 이상,10-30분,2,1,X,X,
2023. 10. 12 오후 12:29:44,2학년,남자,창업마케팅과,음악,0-30분,기타,1,절대 안빠지죠,4~6시간 자요,취업,3,6,1000만원,X,5,30-1시간,10-30분,2,3,X,X,
2023. 10. 12 오후 12:31:20,3학년,남자,스마트웹콘텐츠과,기타,1시간-2시간,방과후(저녁),5,절대 안빠지죠,4~6시간 자요,대학교 진학,8,9,8000만원,O,10,2시간-3시간 이상,1시간-2시간,3,1,X,X,
2023. 10. 12 오후 12:32:14,2학년,여자,창업마케팅과,운동,0-30분,밤,2,절대 안빠지죠,4~6시간 자요,아직 모르겠다,5,5,모르겠습니다,O,5,2시간-3시간 이상,10-30분,4,1,O,X,
2023. 10. 12 오후 12:33:36,2학년,남자,창업마케팅과,운동,0-30분,기타,4,절대 안빠지죠,6시간 이상 자요,취업,5,5,2400,X,3,30-1시간,30-1시간,3,3,X,X,
2023. 10. 12 오후 12:34:30,3학년,남자,소프트웨어개발과,영상시청,2시간-3시간 이상,방과후(저녁),5,절대 안빠지죠,4~6시간 자요,아직 모르겠다,8,8,세후 3000,O,9,1시간-2시간,30-1시간,3,3,X,X,
2023. 10. 12 오후 12:37:13,2학년,남자,창업마케팅과,기타,0-30분,방과후(저녁),4,반년에 한두번 빠져요,4~6시간 자요,아직 모르겠다,9,9,모르겠다,O,7,2시간-3시간 이상,30-1시간,2,2,O,X,
2023. 10. 12 오후 12:37:18,3학년,여자,소프트웨어개발과,게임,0-30분,기타,4,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,5,5,.,O,3,2시간-3시간 이상,1시간-2시간,2,3,X,X,
2023. 10. 12 오후 12:37:32,1학년,남자,금융경영과,운동,1시간-2시간,방과후(저녁),1,한달에 한두번 빠져요,4~6시간 자요,대학교 진학,8,8,1억,O,7,1시간-2시간,1시간-2시간,3,4,X,X,
2023. 10. 12 오후 12:38:43,1학년,남자,금융경영과,운동,1시간-2시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,10,10,월 8~900,O,10,1시간-2시간,30-1시간,3,1,X,X,5
2023. 10. 12 오후 12:38:56,1학년,남자,금융경영과,게임,1시간-2시간,방과후(저녁),2,반년에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,5,4,2000~3000만원,O,6,30-1시간,30-1시간,3,2,X,X,5
2023. 10. 12 오후 12:39:34,1학년,여자,금융경영과,음악,30분-1시간,방과후(저녁),2,반년에 한두번 빠져요,4~6시간 자요,아직 모르겠다,7,7,5000천만원,O,4,30-1시간,10-30분,2,2,O,X,
2023. 10. 12 오후 12:40:28,1학년,여자,금융경영과,영상시청,1시간-2시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,아직 모르겠다,9,7,3000~4000,X,6,30-1시간,10-30분,4,2,X,X,
2023. 10. 12 오후 12:42:29,1학년,여자,금융경영과,음악,0-30분,밤,1,절대 안빠지죠,4~6시간 자요,아직 모르겠다,5,8,2억,X,3,1시간-2시간,10-30분,3,1,O,X,5
2023. 10. 12 오후 12:43:25,1학년,여자,금융경영과,음악,0-30분,방과후(저녁),3,절대 안빠지죠,4~6시간 자요,취업,8,8,3천만원이상,O,5,1시간-2시간,10-30분,3,4,X,X,6
2023. 10. 12 오후 12:43:49,3학년,남자,스마트웹콘텐츠과,영상시청,0-30분,방과후(저녁),4,한달에 한두번 빠져요,4~6시간 자요,취업,10,10,많이,O,10,0-30분,30-1시간,4,4,O,X,10
2023. 10. 12 오후 12:48:49,1학년,여자,금융경영과,음악,30분-1시간,방과후(저녁),1,반년에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,6,4,없습니다,X,2,30-1시간,30-1시간,4,1,X,X,
2023. 10. 12 오후 12:50:15,1학년,여자,회계정보과,운동,30분-1시간,기타,5,1년에 한두번 빠져요,6시간 이상 자요,취업,5,6,230,X,5,2시간-3시간 이상,10-30분,4,4,X,X,1
2023. 10. 12 오후 12:52:10,1학년,남자,금융경영과,기타,0-30분,기타,1,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,5,5,생각해본적없어요,O,5,1시간-2시간,10-30분,2,3,X,X,5
2023. 10. 12 오후 12:55:46,1학년,여자,회계정보과,운동,0-30분,밤,2,한달에 한두번 빠져요,2~4시간 자요,취업,5,6,300이상,X,5,1시간-2시간,30-1시간,2,2,X,X,2
2023. 10. 12 오후 12:56:07,2학년,여자,스마트웹콘텐츠과,예술,0-30분,기타,7,절대 안빠지죠,4~6시간 자요,대학교 진학,8,6,35000000,X,4,1시간-2시간,10-30분,1,2,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 12:59:01,3학년,남자,회계정보과,예술,1시간-2시간,기타,10개 이상,절대 안빠지죠,4~6시간 자요,취업,6,6,세후 3000만원,O,7,0-30분,30-1시간,1,1,X,X,1
2023. 10. 12 오후 1:00:32,2학년,여자,창업마케팅과,음악,30분-1시간,방과후(저녁),1,한달에 한두번 빠져요,6시간 이상 자요,대학교 진학,10,10,200,O,7,30-1시간,10-30분,4,2,O,X,
2023. 10. 12 오후 1:02:43,1학년,여자,회계정보과,운동,0-30분,기타,3,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,5,7,3000천 이상(?),O,5,30-1시간,10-30분,2,3,X,X,
2023. 10. 12 오후 1:03:12,1학년,남자,금융경영과,게임,0-30분,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,10,10,5000만원,O,7,30-1시간,10-30분,2,3,X,X,
2023. 10. 12 오후 1:09:58,2학년,여자,창업마케팅과,게임,30분-1시간,밤,1,한달에 한두번 이상 빠져요,6시간 이상 자요,아직 모르겠다,3,6,X,O,4,1시간-2시간,10-30분,3,3,X,X,
2023. 10. 12 오후 1:28:46,3학년,남자,스마트웹콘텐츠과,예술,0-30분,밤,2,절대 안빠지죠,6시간 이상 자요,대학교 진학,5,3,200,X,4,0-30분,10-30분,1,2,O,X,
2023. 10. 12 오후 1:29:50,3학년,남자,스마트웹콘텐츠과,게임,0-30분,밤,5,절대 안빠지죠,6시간 이상 자요,취업,4,5,200,O,5,30-1시간,10-30분,2,2,X,X,
2023. 10. 12 오후 1:47:42,2학년,여자,금융경영과,게임,1시간-2시간,밤,10개 이상,절대 안빠지죠,6시간 이상 자요,취업,8,8,"4,000만 이상",X,10,2시간-3시간 이상,10-30분,4,2,O,O(아래 질문에 답변해주세요!),1
2023. 10. 12 오후 1:47:58,2학년,여자,금융경영과,음악,30분-1시간,방과후(저녁),3,절대 안빠지죠,4~6시간 자요,아직 모르겠다,7,7,1,O,5,2시간-3시간 이상,10-30분,1,2,X,X,1
2023. 10. 12 오후 1:48:52,2학년,여자,금융경영과,기타,2시간-3시간 이상,밤,10개 이상,1년에 한두번 빠져요,4~6시간 자요,취업,10,9,3000,O,8,1시간-2시간,30-1시간,3,2,O,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 1:49:11,2학년,남자,금융경영과,운동,2시간-3시간 이상,방과후(저녁),10개 이상,절대 안빠지죠,6시간 이상 자요,취업,10,10,3500만원,O,10,30-1시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 1:49:22,2학년,남자,금융경영과,게임,30분-1시간,밤,4,한달에 한두번 이상 빠져요,2~4시간 자요,취업,6,4,2300만원,X,3,30-1시간,30-1시간,3,4,O,X,
2023. 10. 12 오후 1:50:16,2학년,남자,금융경영과,기타,2시간-3시간 이상,방과후(저녁),8,절대 안빠지죠,4~6시간 자요,취업,8,8,2000,O,5,1시간-2시간,30-1시간,2,2,O,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 1:50:35,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,밤,1,1년에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,8,10,4000~5000,O,7,2시간-3시간 이상,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 1:50:41,2학년,여자,창업마케팅과,기타,30분-1시간,방과후(저녁),1,한달에 한두번 빠져요,2~4시간 자요,취업,4,4,1억,O,8,2시간-3시간 이상,10-30분,1,1,O,X,
2023. 10. 12 오후 1:51:20,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),1,절대 안빠지죠,6시간 이상 자요,취업,7,10,300만원,O,10,30-1시간,10-30분,2,3,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 1:52:51,1학년,여자,스마트웹콘텐츠과,기타,30분-1시간,방과후(저녁),4,반년에 한두번 빠져요,4~6시간 자요,아직 모르겠다,7,7,모르겠습니다,O,5,2시간-3시간 이상,10-30분,3,2,X,X,
2023. 10. 12 오후 1:53:45,1학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),1,절대 안빠지죠,4~6시간 자요,대학교 진학,5,8,월 200부터 500까지,O,6,0-30분,10-30분,4,1,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 1:53:49,1학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),1,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,7,7,400,O,10,2시간-3시간 이상,10-30분,1,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 1:54:13,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,기타,3,절대 안빠지죠,2~4시간 자요,취업,10,10,1억,X,7,1시간-2시간,10-30분,2,4,O,X,
2023. 10. 12 오후 1:55:01,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,방과후(저녁),1,절대 안빠지죠,2~4시간 자요,아직 모르겠다,7,5,아직 모름,O,5,1시간-2시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 1:55:55,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,밤,1,절대 안빠지죠,4~6시간 자요,취업,10,10,없음,O,10,0-30분,10-30분,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 1:57:48,3학년,여자,금융경영과,기타,0-30분,밤,10개 이상,절대 안빠지죠,4~6시간 자요,취업,2,2,3000,O,7,1시간-2시간,30-1시간,2,1,O,X,
2023. 10. 12 오후 2:05:00,2학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,밤,4,절대 안빠지죠,4~6시간 자요,취업,5,5,잘 모르겠다,O,7,1시간-2시간,30-1시간,3,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 2:33:14,3학년,여자,금융경영과,기타,2시간-3시간 이상,방과후(저녁),9,절대 안빠지죠,6시간 이상 자요,취업,8,9,"3,000이상",O,10,2시간-3시간 이상,10-30분,3,3,X,X,
2023. 10. 12 오후 2:41:31,2학년,남자,창업마케팅과,운동,2시간-3시간 이상,방과후(저녁),3,절대 안빠지죠,2~4시간 자요,아직 모르겠다,5,5,2000,X,0,1시간-2시간,10-30분,3,2,O,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 2:42:22,2학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),4,절대 안빠지죠,4~6시간 자요,취업,7,9,4000,O,10,2시간-3시간 이상,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 2:43:13,2학년,남자,스마트웹콘텐츠과,운동,0-30분,기타,4,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,4,6,4000?,O,4,2시간-3시간 이상,30-1시간,2,2,X,X,
2023. 10. 12 오후 2:43:33,2학년,여자,스마트웹콘텐츠과,음악,30분-1시간,방과후(저녁),3,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,7,7,3000,O,7,1시간-2시간,10-30분,3,2,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 2:44:09,2학년,여자,스마트웹콘텐츠과,영상시청,1시간-2시간,밤,6,절대 안빠지죠,2~4시간 자요,대학교 진학,8,6,3500,O,7,2시간-3시간 이상,10-30분,2,2,X,O(아래 질문에 답변해주세요!),4
2023. 10. 12 오후 2:45:00,2학년,남자,스마트웹콘텐츠과,운동,0-30분,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,10,10,4000,O,9,30-1시간,10-30분,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 2:45:40,2학년,남자,스마트웹콘텐츠과,운동,0-30분,기타,10개 이상,1년에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,5,1,1억이상,X,0,0-30분,30-1시간,1,1,O,X,1
2023. 10. 12 오후 2:46:37,2학년,남자,스마트웹콘텐츠과,영상시청,0-30분,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,취업,7,10,4천만 원,O,10,0-30분,30-1시간,1,1,O,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 2:46:58,2학년,여자,스마트웹콘텐츠과,예술,1시간-2시간,밤,5,절대 안빠지죠,4~6시간 자요,취업,7,9,3600만원,O,5,2시간-3시간 이상,30-1시간,4,3,X,X,
2023. 10. 12 오후 2:47:41,2학년,남자,스마트웹콘텐츠과,운동,0-30분,기타,3,한달에 한두번 빠져요,2~4시간 자요,취업,8,8,4000만원,O,10,0-30분,10-30분,3,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 2:48:20,2학년,남자,스마트웹콘텐츠과,음악,0-30분,방과후(저녁),4,절대 안빠지죠,4~6시간 자요,대학교 진학,5,5,4000,O,5,0-30분,10-30분,2,2,O,O(아래 질문에 답변해주세요!),2
2023. 10. 12 오후 2:48:26,2학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,취업,4,7,3000천만원,O,4,30-1시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 2:49:18,2학년,여자,스마트웹콘텐츠과,영상시청,0-30분,기타,5,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,4,4,1억,O,5,30-1시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),4
2023. 10. 12 오후 2:49:30,2학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,5,5,3천,X,3,30-1시간,10-30분,4,3,O,O(아래 질문에 답변해주세요!),1
2023. 10. 12 오후 2:49:46,2학년,남자,스마트웹콘텐츠과,음악,30분-1시간,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,8,9,잘 모르겠습니다,O,7,30-1시간,30-1시간,2,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 2:50:06,2학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),4,반년에 한두번 빠져요,4~6시간 자요,대학교 진학,5,5,3천,X,4,1시간-2시간,30-1시간,2,3,X,X,
2023. 10. 12 오후 2:50:26,2학년,남자,스마트웹콘텐츠과,게임,0-30분,기타,1,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,6,7,모르겠습니다,O,4,0-30분,10-30분,1,3,X,X,3
2023. 10. 12 오후 2:53:46,2학년,남자,스마트웹콘텐츠과,영상시청,0-30분,방과후(저녁),4,1년에 한두번 빠져요,4~6시간 자요,아직 모르겠다,7,8,"30,000,000",O,8,2시간-3시간 이상,10-30분,2,2,X,O(아래 질문에 답변해주세요!),8
