타임스탬프,학년,성별,학과(전공),취미,평균 공부 시간,공부하는 시간,자격증 개수,출석,평균 수면 시간,희망 진로,수업 집중도,수업 집중도(전공),희망 연봉,학과 만족 O/X,취업 선호도,소셜 미디어 사용시간,통학 시간,학업 스트레스,교우관계,알바 유무,방과후 유무,방과후 만족도
2023. 10. 12 오후 4:46:08,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,2,절대 안빠지죠,4~6시간 자요,아직 모르겠다,5,3,250,X,3,1시간-2시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),1
2023. 10. 12 오후 4:46:12,1학년,여자,소프트웨어개발과,게임,0-30분,기타,2,절대 안빠지죠,4~6시간 자요,아직 모르겠다,6,6,8000만,O,5,2시간-3시간 이상,10-30분,2,3,X,O(아래 질문에 답변해주세요!),6
2023. 10. 12 오후 4:46:16,1학년,남자,소프트웨어개발과,음악,0-30분,방과후(저녁),2,절대 안빠지죠,2~4시간 자요,아직 모르겠다,5,4,3000천만?,X,3,0-30분,10-30분,3,3,X,O(아래 질문에 답변해주세요!),4
2023. 10. 12 오후 4:48:22,3학년,남자,스마트웹콘텐츠과,기타,0-30분,기타,3,한달에 한두번 이상 빠져요,6시간 이상 자요,아직 모르겠다,1,1,모르겠다,X,0,0-30분,30-1시간,4,2,X,X,3
2023. 10. 12 오후 4:51:27,3학년,남자,스마트웹콘텐츠과,음악,2시간-3시간 이상,밤,5,1년에 한두번 빠져요,6시간 이상 자요,대학교 진학,10,10,1억,X,5,2시간-3시간 이상,30-1시간,4,1,X,X,
2023. 10. 12 오후 5:04:13,1학년,여자,소프트웨어개발과,음악,1시간-2시간,밤,3,절대 안빠지죠,4~6시간 자요,대학교 진학,7,7,3600,X,5,30-1시간,10-30분,3,2,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 5:05:37,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,밤,3,반년에 한두번 빠져요,4~6시간 자요,아직 모르겠다,8,10,4700만원,O,10,0-30분,10-30분,4,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 5:18:46,2학년,남자,금융경영과,게임,30분-1시간,밤,7,절대 안빠지죠,6시간 이상 자요,취업,10,10,3000만원~3500만원,O,10,0-30분,30-1시간,2,1,O,X,
2023. 10. 12 오후 5:32:11,2학년,남자,금융경영과,기타,0-30분,방과후(저녁),10개 이상,절대 안빠지죠,6시간 이상 자요,취업,9,7,3천이상,X,5,2시간-3시간 이상,10-30분,2,1,X,X,
2023. 10. 12 오후 5:32:58,2학년,여자,금융경영과,영상시청,2시간-3시간 이상,방과후(저녁),8,절대 안빠지죠,2~4시간 자요,취업,10,10,500~,X,5,2시간-3시간 이상,10-30분,4,3,X,X,
2023. 10. 12 오후 6:04:49,2학년,남자,소프트웨어개발과,게임,1시간-2시간,밤,3,절대 안빠지죠,4~6시간 자요,취업,3,8,2800만원,O,10,1시간-2시간,30-1시간,3,1,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 6:05:24,2학년,남자,소프트웨어개발과,예술,2시간-3시간 이상,밤,4,절대 안빠지죠,1시간 이하 자요,취업,10,10,3억,O,10,2시간-3시간 이상,2시간 이상,2,2,O,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 6:05:36,2학년,남자,소프트웨어개발과,기타,0-30분,밤,3,절대 안빠지죠,4~6시간 자요,취업,9,9,최저임금,O,10,30-1시간,30-1시간,3,4,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 6:06:12,2학년,남자,소프트웨어개발과,영상시청,1시간-2시간,밤,2,절대 안빠지죠,2~4시간 자요,취업,8,10,3000~4000,O,10,1시간-2시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 6:08:58,2학년,남자,소프트웨어개발과,운동,0-30분,밤,2,절대 안빠지죠,6시간 이상 자요,취업,10,10,4000만원,O,6,1시간-2시간,30-1시간,3,3,O,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 6:09:05,2학년,남자,소프트웨어개발과,운동,1시간-2시간,밤,2,절대 안빠지죠,6시간 이상 자요,취업,10,10,많이,O,6,0-30분,10-30분,4,1,X,O(아래 질문에 답변해주세요!),6
2023. 10. 12 오후 6:10:42,2학년,남자,소프트웨어개발과,예술,30분-1시간,밤,2,절대 안빠지죠,2~4시간 자요,대학교 진학,6,5,200만 ~ 300만,O,7,2시간-3시간 이상,1시간-2시간,2,2,X,X,
2023. 10. 12 오후 6:11:46,2학년,남자,소프트웨어개발과,음악,0-30분,방과후(저녁),4,절대 안빠지죠,4~6시간 자요,취업,5,7,"25,000,000",O,5,1시간-2시간,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 6:11:47,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,3,절대 안빠지죠,4~6시간 자요,취업,6,6,2100 만원 이상,O,6,2시간-3시간 이상,10-30분,2,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 6:12:23,2학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,8,10,3천,O,10,1시간-2시간,1시간-2시간,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 6:12:32,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,3,절대 안빠지죠,4~6시간 자요,아직 모르겠다,9,8,5000위로,O,7,2시간-3시간 이상,10-30분,2,1,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 6:13:12,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),4,1년에 한두번 빠져요,2~4시간 자요,아직 모르겠다,6,6,1500억,O,6,1시간-2시간,30-1시간,3,4,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 6:14:08,2학년,남자,소프트웨어개발과,게임,1시간-2시간,방과후(저녁),3,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,5,5,4000만,O,5,1시간-2시간,10-30분,3,3,X,O(아래 질문에 답변해주세요!),6
2023. 10. 12 오후 6:15:08,2학년,남자,소프트웨어개발과,게임,1시간-2시간,기타,2,절대 안빠지죠,2~4시간 자요,취업,8,9,4000,O,8,0-30분,30-1시간,2,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 6:15:10,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),4,1년에 한두번 빠져요,2~4시간 자요,아직 모르겠다,6,6,2500만원,O,6,2시간-3시간 이상,30-1시간,3,1,O,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 6:15:42,2학년,남자,소프트웨어개발과,음악,1시간-2시간,밤,3,절대 안빠지죠,6시간 이상 자요,취업,5,8,10억,O,5,30-1시간,10-30분,4,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 6:36:09,2학년,남자,창업마케팅과,음악,30분-1시간,방과후(저녁),5,절대 안빠지죠,4~6시간 자요,대학교 진학,9,10,"30,000,000",O,5,30-1시간,10-30분,1,1,O,X,
2023. 10. 12 오후 6:36:34,2학년,남자,소프트웨어개발과,게임,1시간-2시간,밤,3,절대 안빠지죠,4~6시간 자요,대학교 진학,4,4,3500,O,5,0-30분,30-1시간,3,2,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 6:55:54,2학년,여자,금융경영과,영상시청,0-30분,방과후(저녁),8,절대 안빠지죠,4~6시간 자요,취업,8,8,모르겠어요,X,5,2시간-3시간 이상,10-30분,3,3,X,X,
2023. 10. 12 오후 7:04:43,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,4,절대 안빠지죠,4~6시간 자요,취업,7,8,3000만원,O,8,1시간-2시간,1시간-2시간,1,1,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 7:07:00,2학년,여자,부사관과,운동,1시간-2시간,밤,4,절대 안빠지죠,4~6시간 자요,취업,9,9,아직 모르겠습니다,O,9,1시간-2시간,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 7:08:53,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),3,절대 안빠지죠,4~6시간 자요,취업,5,10,3억3천3백3십3만3원3천3백3십3원,O,7,0-30분,2시간 이상,4,3,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 7:08:58,2학년,여자,부사관과,운동,1시간-2시간,방과후(저녁),3,절대 안빠지죠,6시간 이상 자요,취업,10,10,2000천,O,10,1시간-2시간,30-1시간,3,4,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 7:13:53,2학년,남자,부사관과,기타,1시간-2시간,밤,4,절대 안빠지죠,4~6시간 자요,취업,9,9,없다,O,10,30-1시간,10-30분,1,1,X,X,
2023. 10. 12 오후 7:15:20,2학년,남자,부사관과,운동,2시간-3시간 이상,방과후(저녁),6,절대 안빠지죠,2~4시간 자요,취업,8,9,3000,O,8,2시간-3시간 이상,10-30분,3,4,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 7:19:22,2학년,남자,부사관과,게임,2시간-3시간 이상,방과후(저녁),4,절대 안빠지죠,2~4시간 자요,취업,8,9,100만원 이상,O,5,2시간-3시간 이상,30-1시간,2,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 7:26:17,2학년,남자,부사관과,게임,2시간-3시간 이상,방과후(저녁),3,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,9,9,3000만원,O,7,1시간-2시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 7:30:40,2학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),4,절대 안빠지죠,4~6시간 자요,취업,7,8,2500,O,8,0-30분,10-30분,3,2,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 7:32:55,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,4,절대 안빠지죠,4~6시간 자요,취업,10,10,평균보다 많이,O,10,0-30분,1시간-2시간,2,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 7:39:43,1학년,남자,소프트웨어개발과,기타,0-30분,밤,5,반년에 한두번 빠져요,4~6시간 자요,아직 모르겠다,7,7,4000만,O,7,0-30분,1시간-2시간,3,3,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 7:40:16,2학년,남자,부사관과,운동,30분-1시간,방과후(저녁),5,절대 안빠지죠,4~6시간 자요,취업,7,7,2000,O,10,1시간-2시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 8:04:58,2학년,남자,부사관과,운동,1시간-2시간,밤,4,절대 안빠지죠,4~6시간 자요,아직 모르겠다,7,8,2400만원,O,8,1시간-2시간,10-30분,3,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 8:05:32,2학년,남자,금융경영과,기타,1시간-2시간,방과후(저녁),3,한달에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,4,5,3600이상,O,5,2시간-3시간 이상,10-30분,3,3,X,X,3
2023. 10. 12 오후 8:22:37,2학년,남자,부사관과,운동,2시간-3시간 이상,방과후(저녁),6,절대 안빠지죠,6시간 이상 자요,취업,10,10,3000만원,O,8,1시간-2시간,1시간-2시간,3,3,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 11:42:25,1학년,남자,소프트웨어개발과,운동,0-30분,밤,2,1년에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,5,5,2400,X,3,0-30분,10-30분,3,4,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 11:54:39,2학년,여자,스마트웹콘텐츠과,예술,1시간-2시간,밤,3,절대 안빠지죠,6시간 이상 자요,취업,5,5,평균 연봉,X,5,2시간-3시간 이상,10-30분,4,2,X,O(아래 질문에 답변해주세요!),8
2023. 10. 13 오전 12:24:40,2학년,남자,창업마케팅과,게임,0-30분,기타,3,절대 안빠지죠,6시간 이상 자요,취업,3,4,"6,000만원",X,2,2시간-3시간 이상,30-1시간,1,1,O,X,
2023. 10. 13 오전 1:12:48,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,아직 모르겠다,5,7,모르겠다,X,3,1시간-2시간,10-30분,4,1,X,O(아래 질문에 답변해주세요!),3
2023. 10. 13 오전 6:29:59,2학년,남자,소프트웨어개발과,기타,1시간-2시간,방과후(저녁),3,절대 안빠지죠,4~6시간 자요,아직 모르겠다,7,9,250~300,X,6,1시간-2시간,1시간-2시간,3,2,X,O(아래 질문에 답변해주세요!),7
2023. 10. 13 오전 7:15:31,2학년,여자,부사관과,운동,30분-1시간,밤,4,절대 안빠지죠,4~6시간 자요,취업,5,8,많이,O,8,30-1시간,10-30분,4,3,O,O(아래 질문에 답변해주세요!),6
2023. 10. 13 오전 8:36:09,2학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,취업,10,10,안굶어죽을정도,O,10,0-30분,10-30분,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 13 오전 8:56:51,1학년,여자,스마트웹콘텐츠과,예술,0-30분,밤,1,절대 안빠지죠,6시간 이상 자요,취업,4,7,어..잘 모르겠습니다,X,8,1시간-2시간,10-30분,1,2,X,O(아래 질문에 답변해주세요!),10
2023. 10. 13 오전 8:57:04,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,밤,1,절대 안빠지죠,4~6시간 자요,아직 모르겠다,5,6,잘 모르겠습니다,O,6,30-1시간,10-30분,4,2,X,X,5
2023. 10. 13 오전 8:57:20,1학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),1,반년에 한두번 빠져요,4~6시간 자요,취업,3,5,180,O,5,30-1시간,30-1시간,2,3,X,O(아래 질문에 답변해주세요!),4
2023. 10. 13 오전 8:57:37,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),3,절대 안빠지죠,6시간 이상 자요,대학교 진학,7,8,4000이상,O,8,30-1시간,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 13 오전 8:59:21,1학년,남자,스마트웹콘텐츠과,게임,1시간-2시간,방과후(저녁),1,절대 안빠지죠,4~6시간 자요,취업,8,8,3000,O,9,30-1시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),5
2023. 10. 13 오전 8:59:48,1학년,남자,스마트웹콘텐츠과,게임,0-30분,기타,1,절대 안빠지죠,1~2시간 자요,아직 모르겠다,3,3,몰르겠다,O,2,30-1시간,10-30분,4,3,X,X,
2023. 10. 13 오전 8:59:49,1학년,남자,스마트웹콘텐츠과,운동,1시간-2시간,밤,1,절대 안빠지죠,6시간 이상 자요,대학교 진학,10,10,300,X,2,0-30분,30-1시간,4,1,O,X,6
2023. 10. 13 오전 9:00:01,1학년,남자,스마트웹콘텐츠과,게임,0-30분,밤,2,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,8,7,2400,X,2,30-1시간,10-30분,3,2,O,X,1
2023. 10. 13 오전 9:00:08,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),1,절대 안빠지죠,6시간 이상 자요,취업,7,9,3000,O,7,30-1시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),5
2023. 10. 13 오전 9:00:27,1학년,여자,스마트웹콘텐츠과,영상시청,30분-1시간,밤,1,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,6,5,모르겠다,O,5,2시간-3시간 이상,30-1시간,1,1,X,X,
2023. 10. 13 오전 9:00:32,1학년,여자,스마트웹콘텐츠과,예술,0-30분,기타,2,절대 안빠지죠,4~6시간 자요,대학교 진학,7,5,8000~1억..... ... .. .,X,5,1시간-2시간,10-30분,4,2,X,O(아래 질문에 답변해주세요!),4
2023. 10. 13 오전 9:01:17,1학년,남자,스마트웹콘텐츠과,게임,0-30분,밤,1,절대 안빠지죠,4~6시간 자요,취업,4,6,100만원 이상,X,4,1시간-2시간,10-30분,2,3,X,X,
2023. 10. 13 오전 9:27:17,1학년,여자,부사관과,예술,1시간-2시간,방과후(저녁),2,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,9,9,최대 5억,O,8,1시간-2시간,30-1시간,2,1,X,X,6
2023. 10. 13 오전 9:27:25,1학년,남자,부사관과,운동,0-30분,방과후(저녁),3,절대 안빠지죠,6시간 이상 자요,취업,10,10,100억,O,10,2시간-3시간 이상,30-1시간,4,1,O,X,8
2023. 10. 13 오전 9:27:27,1학년,여자,부사관과,영상시청,1시간-2시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,7,7,500만원,O,5,30-1시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),5
2023. 10. 13 오전 9:27:36,1학년,여자,부사관과,운동,1시간-2시간,밤,2,절대 안빠지죠,4~6시간 자요,취업,8,9,6억,O,10,2시간-3시간 이상,30-1시간,2,4,O,X,
2023. 10. 13 오전 9:27:54,1학년,남자,부사관과,운동,1시간-2시간,방과후(저녁),2,절대 안빠지죠,2~4시간 자요,취업,8,9,1억,O,10,30-1시간,30-1시간,1,1,X,X,5
2023. 10. 13 오전 9:28:04,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,5,10,1억,O,10,1시간-2시간,10-30분,3,1,X,X,
2023. 10. 13 오전 9:28:15,1학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),2,반년에 한두번 빠져요,6시간 이상 자요,취업,8,6,8000천,O,6,30-1시간,10-30분,2,3,O,O(아래 질문에 답변해주세요!),8
2023. 10. 13 오전 9:28:31,1학년,여자,부사관과,영상시청,0-30분,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,7,10,7000,O,10,1시간-2시간,10-30분,2,1,X,X,10
2023. 10. 13 오전 9:28:50,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),2,절대 안빠지죠,6시간 이상 자요,취업,5,5,70000000,O,5,2시간-3시간 이상,10-30분,2,4,O,X,
2023. 10. 13 오전 9:29:37,1학년,여자,부사관과,운동,1시간-2시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,9,9,5억,O,10,1시간-2시간,30-1시간,4,2,X,X,
2023. 10. 13 오전 9:29:45,1학년,남자,부사관과,게임,30분-1시간,방과후(저녁),2,절대 안빠지죠,6시간 이상 자요,취업,8,8,3000만원,O,8,1시간-2시간,30-1시간,4,2,X,X,
2023. 10. 13 오전 9:29:52,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),2,절대 안빠지죠,6시간 이상 자요,취업,9,9,3000만원,O,10,1시간-2시간,10-30분,2,2,X,X,
2023. 10. 13 오전 9:30:25,1학년,여자,부사관과,운동,30분-1시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,6,10,7억,O,8,2시간-3시간 이상,10-30분,3,1,O,X,5
2023. 10. 13 오전 9:30:31,1학년,여자,부사관과,영상시청,0-30분,밤,2,절대 안빠지죠,4~6시간 자요,아직 모르겠다,5,7,3000만원,O,6,1시간-2시간,2시간 이상,1,3,X,X,
2023. 10. 13 오전 9:30:31,1학년,여자,부사관과,기타,1시간-2시간,밤,2,절대 안빠지죠,2~4시간 자요,취업,8,9,칠천만원,O,10,2시간-3시간 이상,10-30분,2,1,X,X,
2023. 10. 13 오전 9:30:44,1학년,남자,부사관과,운동,30분-1시간,밤,2,절대 안빠지죠,2~4시간 자요,취업,10,10,1억,O,10,30-1시간,30-1시간,3,1,O,X,
2023. 10. 13 오전 9:31:19,1학년,여자,부사관과,영상시청,1시간-2시간,밤,2,반년에 한두번 빠져요,4~6시간 자요,취업,8,8,1억,O,6,1시간-2시간,10-30분,3,2,X,O(아래 질문에 답변해주세요!),6
2023. 10. 13 오전 9:32:33,1학년,여자,부사관과,운동,1시간-2시간,밤,2,절대 안빠지죠,4~6시간 자요,취업,9,9,7천만원,O,8,30-1시간,30-1시간,2,2,X,X,
2023. 10. 13 오전 9:32:33,1학년,여자,부사관과,운동,0-30분,밤,3,절대 안빠지죠,4~6시간 자요,취업,4,10,2500이상,O,10,1시간-2시간,10-30분,3,1,O,X,
2023. 10. 13 오전 9:32:51,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),3,절대 안빠지죠,2~4시간 자요,취업,4,7,달에 300 36000000,O,7,30-1시간,10-30분,3,4,X,X,7
2023. 10. 13 오전 10:00:05,1학년,남자,부사관과,운동,0-30분,방과후(저녁),2,절대 안빠지죠,2~4시간 자요,취업,5,5,20000000,O,9,2시간-3시간 이상,30-1시간,1,2,O,X,5
2023. 10. 13 오전 10:30:19,1학년,여자,부사관과,게임,1시간-2시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,7,7,4천만원,O,9,1시간-2시간,30-1시간,3,3,O,X,7
2023. 10. 13 오전 10:57:47,1학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),2,절대 안빠지죠,4~6시간 자요,취업,8,9,5억,O,10,1시간-2시간,30-1시간,2,2,X,X,6
2023. 10. 13 오후 2:57:37,2학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),4,절대 안빠지죠,4~6시간 자요,대학교 진학,10,10,4000,O,7,30-1시간,10-30분,2,2,X,X,
2023. 10. 16 오전 5:30:44,2학년,남자,창업마케팅과,음악,0-30분,밤,3,1년에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,4,7,1억,O,2,0-30분,10-30분,2,1,X,X,3
2023. 10. 16 오후 6:03:47,2학년,여자,스마트웹콘텐츠과,영상시청,30분-1시간,방과후(저녁),5,절대 안빠지죠,4~6시간 자요,대학교 진학,10,9,5천,X,6,1시간-2시간,30-1시간,3,2,X,O(아래 질문에 답변해주세요!),7
2023. 10. 16 오후 6:04:21,2학년,여자,스마트웹콘텐츠과,영상시청,0-30분,밤,5,한달에 한두번 빠져요,4~6시간 자요,대학교 진학,4,5,5000,X,4,1시간-2시간,30-1시간,2,1,X,X,
